1,HC-05,Bluetooth module,BT_HDR,,,,
2,22pf,CAP1206,C1,C2,,,
1,.1uf,CAP1206,C3,,,,
1,1500uf,CAP-PTH-5MM,C6,,,,
2,10uf,CAP-PTH-SMALL,C7,C8,,,
1,1N4148,1N4148FS-ND,D1,,,,
1,1N4739,1N4739A-ND,D3,,,,
1,M03-SCREW-5MM,ED2735-ND,PWR,SPKR,STRT,TMR1,TMR2
1,RJ45,609-5081-ND,LIGHT,,,,
1,M03-SCREW-5MM,277-1578-ND,GATE,,,,
1,BC81725MTFCT,BC81725MTFCT-ND,Q2,,,,
1,TIP120,TIP120-ND,Q8,,,,
3,1K,RES1206,R1,R3,R7,,
1,2K,RES1206,R2,,,,
1,10K,RES1206,R4,,,,
1,MC1413D,MC1413DR2GOSCT-ND,MC1413D,,,,
1,24AA512,24AA512-I/SN-ND,24AA512,,,,
1,RELAY-JSMJSM,255-2223-ND,RELAY-JSM,,,,
1,LM78M05,LM78M05CDTX/NOPBCT-ND,LM78M05,,,,
1,ATMEGA328P,ATMEGA328P-PU-ND,ATMEGA328P,,,,
1,16Mhz Crystal,631-1108-ND,Y1,,,,
